Get a college undergraduate degrees [num] times,3153600,http://www.dacc.edu/sites/default/files/CollegeGrads.jpg
Travel to Jupiter [num] times,3153600,http://img3.wikia.nocookie.net/__cb20100222231607/masseffect/images/thumb/2/2a/Jupiter_MassEffect2.png/500px-Jupiter_MassEffect2.png
"Travel at the speed of light to the nearest star, Proxima Centauri, [num] times",2296872,"http://upload.wikimedia.org/wikipedia/commons/9/95/New_shot_of_Proxima_Centauri,_our_nearest_neighbour.jpg"
Live [num] lifespans as a mouse,2102400,http://upload.wikimedia.org/wikipedia/commons/b/bd/Apodemus_sylvaticus_bosmuis.jpg
Walk around the globe [num] times,2096640,http://geopalz.com//wordpress/wp-content/uploads/2010/11/walk-around-the-globe-feet-300x295.jpg
Get a Masters degree [num] times,1576800,http://www.clearpointcreditcounselingsolutions.org/wp-content/uploads/college-graduation.jpg
Live [num] lifespans as a racoon,1576800,http://www.desktopcave.com/wp-content/uploads/wallpapers/Animals/Racoon-Babies-Computer-Background.jpg
Explore the entire Lewis and Clark expedition [num] times,1242720,http://www-tc.pbs.org/weta/thewest/places/trails_ter/images/lewisandclark.jpg
Build the Eiffel Tower [num] times,1123200,http://flip-thinking.com/assets/eiffel-tower.jpg
Walk the Great Wall of China [num] times,777600,http://upload.wikimedia.org/wikipedia/commons/1/10/20090529_Great_Wall_8185.jpg
Film the entire Lord of the Rings trilogy [num] times,630720,http://img2.wikia.nocookie.net/__cb20070806215413/lotr/images/8/87/Ringstrilogyposter.jpg
Go through pregnancy [num] times (that's [num] babies!),388800,http://upload.wikimedia.org/wikipedia/commons/2/2f/CRL_Crown_rump_lengh_12_weeks_ecografia_Dr._Wolfgang_Moroder.jpg
Make the journey to Mars [num] times,364320,http://localtvwiti.files.wordpress.com/2013/05/inspiration-mars-red-planet.jpg
Read the entire A Song of Ice and Fire series [num] times (based on average reading speed),348480,http://upload.wikimedia.org/wikipedia/zh/b/b5/A-song-of-ice-and-fire-books.jpg
Run around the edge of Australia [num] times,275050,http://www.embassyenglish.com/-/media/Embassy/Images/Countries/australia_map.png
Travel to Mercury [num] times,211680,http://www.wwu.edu/skywise/planets/mercury.jpg
Watch every movie on Amazon Prime Instant [num] times,209400,https://thevpn.guru/wp-content/uploads/2014/08/How-to-watch-Amazon-Prime-Instant-Video-outside-Germany-using-VPN-or-Smart-DNS-Proxies.jpg
Travel to Venus [num] times,139680,http://www.solarsystemquick.com/images/planet_venus_1.jpg
Find a new job [num] times (based on 2014 survey data),129600,http://www.geeknewscentral.com/wp-content/uploads/2012/09/bigstock-Business-woman-holding-a-card-29452100.jpg
Enjoy [num] summer vacations,129600,http://www.bbb.org/blog/wp-content/uploads/2011/05/summer2.jpg
Learn [num] languages,90000,http://www.returnofkings.com/wp-content/uploads/2014/06/learning-a-language.jpg
Live out [num] lifespans as an ant,86400,http://upload.wikimedia.org/wikipedia/commons/a/a6/Meat_eater_ant_feeding_on_honey02.jpg
Fight in the Falkland War [num] times,60480,http://i.dailymail.co.uk/i/pix/2011/12/21/article-0-0000C3D000000258-59_634x471.jpg
Sail from Europe to the New World with Columbus [num] times,50400,http://www.talismancoins.com/catalog/Christopher_Columbus_Sailing_Ship_Santa_Maria_2.jpg
Beat the infamous game Desert Bus [num] times,47520,http://waxy.org/random/images/desert_bus/tucson_ending1.jpg
Write [num] NaNoWriMo novels,43200,http://studentslife101.com/wp-content/uploads/2012/04/writers-desk-550.jpg
Watch the entirety of Star Trek (all TV shows and movies) [num] times,35610,http://upload.wikimedia.org/wikipedia/en/2/2b/TOSopeninglogo.png
Live the lifespan of a housefly [num] times,33120,"http://upload.wikimedia.org/wikipedia/commons/1/14/Common_house_fly,_Musca_domestica.jpg"
Contract and die (or recover!) from Ebola [num] times,30240,http://i.huffpost.com/gen/2097108/thumbs/o-EBOLA-VIRUS-facebook.jpg
Drive from Alaska to the tip of South America [num] times,25000,http://gabelli-us.com/NORTH%20&%20SOUTH%20AMERICA%20a1%C2%A9www.gabelli-us.com.jpg
Watch the entirety of Doctor Who [num] times,22960,http://www.thinkgeek.com/images/blog/13-11-22-doctorwho50th.jpg
Watch every episode of the Pokemon anime series [num] times,17140,http://25.media.tumblr.com/tumblr_m8v02oozJw1r7qo39o1_500.png
Bike from LA to New York [num] times,15840,http://ipkonfig.com/wp-content/uploads/2012/04/IP_LeastHops.jpg
Lose [num] guys (per ten days),14400,http://ecx.images-amazon.com/images/I/41o7xRdZgtL.jpg
Watch every Simpsons episode [num] times,13464,http://rack.0.mshcdn.com/media/ZgkyMDE0LzA4LzI0LzExL3RoZXNpbXBzb25zLmY4NWQ2LmpwZwpwCXRodW1iCTk1MHg1MzQjCmUJanBn/7a88d3f1/afe/the-simpsons.jpg
Download [num] 1080p movies...on a 56K modem,12782,http://www.lasertekservices.com/blog/wp-content/uploads/2014/09/How-to-Recycle-Old-Computers.jpg
Watch all of the anime Naruto (including Shippuden) [num] times,12200,http://vignette4.wikia.nocookie.net/naruto/images/0/09/Naruto_newshot.png/revision/latest?cb=20120515073658
"Flim ""The Blair Witch Project"" [num] times",11520,http://www.gannett-cdn.com/-mm-/f2379c4bcc6690831d66c0f93fa61fcb9a4f1cf5/c=172-0-2260-1564&r=x383&c=540x380/local/-/media/USATODAY/USATODAY/2014/07/11/1405109030000-XXX-BLAIR-WITCH-MOV-JY-938--65716958.JPG
Catch every single Pokemon (as of Pokemon X) [num] times,11207,http://photos.imageevent.com/afap/wallpapers/videogaming/pokmonxandy//pokemon%20x%20and%20y%20-%20reshiramaster.jpg
